Year, HIGHROLLERS, Exploding Bacon, 12 Volt Bolt, Team RUSH, S.P.A.M.
1997.0, 0.0, 0.0, 0.0, 0.0, 0.0
1998.0, 0.0, 0.0, 0.0, 0.0, 0.0
1999.0, 0.0, 0.0, 0.0, 0.0, 0.0
2000.0, 0.0, 0.0, 0.0, 0.0, 0.0
2001.0, 0.0, 0.0, 0.0, 0.0, 0.0
2002.0, 0.0, 0.0, 0.0, 0.0, 0.0
2003.0, 0.0, 0.0, 0.0, 0.0, 0.0
2004.0, 0.0, 0.0, 0.0, 4.0, 0.0
2005.0, 0.0, 0.0, 0.0, 4.5, 0.0
2006.0, 0.0, 0.0, 0.0, 4.0, 0.0
2007.0, 0.0, 0.0, 0.0, 6.0, 0.0
2008.0, 4.0, 0.0, 0.0, 7.75, 0.0
2009.0, 7.0, 0.0, 4.0, 8.0, 0.0
2010.0, 5.5, 4.0, 3.0, 9.75, 0.0
2011.0, 2.75, 3.0, 1.5, 9.1, 0.0
2012.0, 1.25, 3.0, 1.25, 11.2, 0.0
2013.0, 4.0, 6.75, 0.0, 11.95, 0.0
2014.0, 4.5, 6.0, 0.0, 18.55, 0.0
2015.0, 8.0, 9.5, 0.0, 12.95, 0.0
2016.0, 10.75, 10.75, 0.0, 6.35, 4.0
