Year, , "1902 CPR", "1557 CPR", "4013 CPR", "233 CPR", "180 CPR"
1998, , 0.0, 0.0, 0.0, 0.0, 0.0
1999, , 0.0, 0.0, 0.0, 0.0, 0.0
2000, , 0.0, 0.0, 0.0, 0.0, 0.0
2001, , 0.0, 0.0, 0.0, 0.0, 0.0
2002, , 0.0, 0.0, 0.0, 0.0, 0.0
2003, , 0.0, 0.0, 0.0, 0.0, 0.0
2004, , 0.0, 0.0, 0.0, 0.0, 0.0
2005, , 0.0, 0.0, 0.0, 2.0, 0.0
2006, , 0.0, 0.0, 0.0, 4.25, 0.0
2007, , 0.0, 0.0, 0.0, 4.25, 0.0
2008, , 0.0, 0.0, 0.0, 3.5, 0.0
2009, , 0.0, 2.25, 0.0, 4.75, 0.0
2010, , 2.0, 2.25, 0.0, 4.5, 0.0
2011, , 2.25, 1.0, 0.0, 1.5, 0.0
2012, , 2.75, 1.0, 0.0, 3.0, 0.0
2013, , 5.5, 0.0, 0.0, 3.75, 0.0
2014, , 6.0, 0.0, 2.0, 4.5, 0.0
2015, , 8.5, 0.0, 4.0, 2.0, 0.0
2016, , 8.5, 0.0, 5.5, 0.75, 2.25
